ip,host,host_full,traffic_snd,traffic_rcv,packet_snd,packet_rcv,country,party,input_file,organization
8.41.222.150,1rx.io,sync.1rx.io,24939,23937,97,100,US,Advertisers,/Volumes/Untitled/IoT_lab/American_kitchen_IoT/7c_d9_5c_78_53_3d/2019-11-12_16.43.49_192.168.110.16.pcap,Level 3 Parent  LLC
172.217.15.67,gstatic.com,ssl.gstatic.com,1669,24356,17,15,SE,First party,/Volumes/Untitled/IoT_lab/American_kitchen_IoT/7c_d9_5c_78_53_3d/2019-11-12_16.43.49_192.168.110.16.pcap,Google LLC
216.239.32.21,mdhv.io,jelly.mdhv.io,2146,4982,16,15,US,Support party,/Volumes/Untitled/IoT_lab/American_kitchen_IoT/7c_d9_5c_78_53_3d/2019-11-12_16.43.49_192.168.110.16.pcap,N/A
34.225.220.222,yahoo.com,ups.analytics.yahoo.com,2323,4940,12,9,US,Third party,/Volumes/Untitled/IoT_lab/American_kitchen_IoT/7c_d9_5c_78_53_3d/2019-11-12_16.43.49_192.168.110.16.pcap,N/A
31.13.71.7,facebook.net,connect.facebook.net,3759,110672,36,39,US,Third party,/Volumes/Untitled/IoT_lab/American_kitchen_IoT/7c_d9_5c_78_53_3d/2019-11-12_16.43.49_192.168.110.16.pcap,Facebook
35.169.164.219,ipredictive.com,sync.ipredictive.com,1989,6422,11,8,US,Advertisers,/Volumes/Untitled/IoT_lab/American_kitchen_IoT/7c_d9_5c_78_53_3d/2019-11-12_16.43.49_192.168.110.16.pcap,N/A
34.204.159.107,gumgum.com,g2.gumgum.com,21023,54414,112,81,US,Advertisers,/Volumes/Untitled/IoT_lab/American_kitchen_IoT/7c_d9_5c_78_53_3d/2019-11-12_16.43.49_192.168.110.16.pcap,N/A
172.217.13.82,gstatic.com,p4-eqchlszrsgk6w-tdgtq54t77kiqg2n-326800-i1-unicast4.metric.gstatic.com,2051,5770,14,13,US,First party,/Volumes/Untitled/IoT_lab/American_kitchen_IoT/7c_d9_5c_78_53_3d/2019-11-12_16.43.49_192.168.110.16.pcap,N/A
151.101.2.2,taboola.com,trc.taboola.com,5095,10330,32,24,US,Third party,/Volumes/Untitled/IoT_lab/American_kitchen_IoT/7c_d9_5c_78_53_3d/2019-11-12_16.43.49_192.168.110.16.pcap,N/A
172.217.13.70,doubleclick.net,ad.doubleclick.net,21527,56494,103,99,US,Advertisers,/Volumes/Untitled/IoT_lab/American_kitchen_IoT/7c_d9_5c_78_53_3d/2019-11-12_16.43.49_192.168.110.16.pcap,N/A
35.190.72.21,rlcdn.com,idsync.rlcdn.com,26160,41329,164,163,US,Advertisers,/Volumes/Untitled/IoT_lab/American_kitchen_IoT/7c_d9_5c_78_53_3d/2019-11-12_16.43.49_192.168.110.16.pcap,N/A
52.22.184.73,advertising.com,pixel.advertising.com,6576,8864,39,29,US,Third party,/Volumes/Untitled/IoT_lab/American_kitchen_IoT/7c_d9_5c_78_53_3d/2019-11-12_16.43.49_192.168.110.16.pcap,N/A
3.228.178.24,flashtalking.com,d9.flashtalking.com,7656,12750,16,15,US,Third party,/Volumes/Untitled/IoT_lab/American_kitchen_IoT/7c_d9_5c_78_53_3d/2019-11-12_16.43.49_192.168.110.16.pcap,N/A
104.84.224.132,moatads.com,z.moatads.com,261486,468898,507,388,US,Advertisers,/Volumes/Untitled/IoT_lab/American_kitchen_IoT/7c_d9_5c_78_53_3d/2019-11-12_16.43.49_192.168.110.16.pcap,N/A
34.231.157.146,360yield.com,ad.360yield.com,8095,10968,48,38,US,Advertisers,/Volumes/Untitled/IoT_lab/American_kitchen_IoT/7c_d9_5c_78_53_3d/2019-11-12_16.43.49_192.168.110.16.pcap,N/A
52.86.143.31,vdopia.com,cs.vdopia.com,7057,8892,41,30,US,Advertisers,/Volumes/Untitled/IoT_lab/American_kitchen_IoT/7c_d9_5c_78_53_3d/2019-11-12_16.43.49_192.168.110.16.pcap,N/A
162.248.19.152,pubmatic.com,image4.pubmatic.com,23289,16279,58,58,US,Advertisers,/Volumes/Untitled/IoT_lab/American_kitchen_IoT/7c_d9_5c_78_53_3d/2019-11-12_16.43.49_192.168.110.16.pcap,PubMatic  Inc.
185.184.10.30,creativecdn.com,ash.creativecdn.com,2743,5894,15,9,PL,Support party,/Volumes/Untitled/IoT_lab/American_kitchen_IoT/7c_d9_5c_78_53_3d/2019-11-12_16.43.49_192.168.110.16.pcap,N/A
174.138.12.104,bidtheatre.com,match.adsby.bidtheatre.com,1771,7100,9,9,NL,Advertisers,/Volumes/Untitled/IoT_lab/American_kitchen_IoT/7c_d9_5c_78_53_3d/2019-11-12_16.43.49_192.168.110.16.pcap,N/A
4.78.226.226,mxptint.net,atp.mxptint.net,2036,6844,12,10,US,Advertisers,/Volumes/Untitled/IoT_lab/American_kitchen_IoT/7c_d9_5c_78_53_3d/2019-11-12_16.43.49_192.168.110.16.pcap,N/A
216.239.35.4,google.com,time.google.com,90,90,1,1,US,First party,/Volumes/Untitled/IoT_lab/American_kitchen_IoT/7c_d9_5c_78_53_3d/2019-11-12_16.43.49_192.168.110.16.pcap,Google LLC
208.185.50.97,rubiconproject.com,fastlane.rubiconproject.com,12598,21324,43,36,US,Third party,/Volumes/Untitled/IoT_lab/American_kitchen_IoT/7c_d9_5c_78_53_3d/2019-11-12_16.43.49_192.168.110.16.pcap,N/A
52.94.232.32,amazon-adsystem.com,s.amazon-adsystem.com,1972,9434,11,9,US,Advertisers,/Volumes/Untitled/IoT_lab/American_kitchen_IoT/7c_d9_5c_78_53_3d/2019-11-12_16.43.49_192.168.110.16.pcap,Amazon Technologies Inc.
13.33.39.8,userreport.com,audex.userreport.com,1946,4974,12,8,US,Third party,/Volumes/Untitled/IoT_lab/American_kitchen_IoT/7c_d9_5c_78_53_3d/2019-11-12_16.43.49_192.168.110.16.pcap,N/A
64.58.116.236,adhigh.net,px.adhigh.net,2054,6569,12,9,US,Advertisers,/Volumes/Untitled/IoT_lab/American_kitchen_IoT/7c_d9_5c_78_53_3d/2019-11-12_16.43.49_192.168.110.16.pcap,N/A
18.219.161.73,thebrighttag.com,s.thebrighttag.com,6828,8150,37,25,US,Advertisers,/Volumes/Untitled/IoT_lab/American_kitchen_IoT/7c_d9_5c_78_53_3d/2019-11-12_16.43.49_192.168.110.16.pcap,N/A
34.196.124.69,yieldmo.com,ads.yieldmo.com,28015,22795,138,98,US,Third party,/Volumes/Untitled/IoT_lab/American_kitchen_IoT/7c_d9_5c_78_53_3d/2019-11-12_16.43.49_192.168.110.16.pcap,N/A
3.224.50.143,w55c.net,i.w55c.net,2127,6666,12,8,US,Third party,/Volumes/Untitled/IoT_lab/American_kitchen_IoT/7c_d9_5c_78_53_3d/2019-11-12_16.43.49_192.168.110.16.pcap,N/A
34.95.113.110,adhaven.com,verizon.adhaven.com,2159,6639,14,12,US,Advertisers,/Volumes/Untitled/IoT_lab/American_kitchen_IoT/7c_d9_5c_78_53_3d/2019-11-12_16.43.49_192.168.110.16.pcap,N/A
3.85.58.247,sundaysky.com,vop.sundaysky.com,2791,5472,13,8,US,Third party,/Volumes/Untitled/IoT_lab/American_kitchen_IoT/7c_d9_5c_78_53_3d/2019-11-12_16.43.49_192.168.110.16.pcap,N/A
38.106.34.120,stickyadstv.com,ads.stickyadstv.com,41187,28738,102,66,US,Third party,/Volumes/Untitled/IoT_lab/American_kitchen_IoT/7c_d9_5c_78_53_3d/2019-11-12_16.43.49_192.168.110.16.pcap,N/A
34.199.103.83,avocet.io,ads.avocet.io,2844,7612,14,10,US,Third party,/Volumes/Untitled/IoT_lab/American_kitchen_IoT/7c_d9_5c_78_53_3d/2019-11-12_16.43.49_192.168.110.16.pcap,N/A
52.45.68.217,moatads.com,geo.moatads.com,4176,5134,13,10,US,Advertisers,/Volumes/Untitled/IoT_lab/American_kitchen_IoT/7c_d9_5c_78_53_3d/2019-11-12_16.43.49_192.168.110.16.pcap,N/A
18.215.238.150,amazonaws.com,amazonaws.com,24458,12006,75,105,US,Support party,/Volumes/Untitled/IoT_lab/American_kitchen_IoT/7c_d9_5c_78_53_3d/2019-11-12_16.43.49_192.168.110.16.pcap,N/A
68.67.179.122,adnxs.com,nym1-ib.adnxs.com,32740,34453,119,77,US,Advertisers,/Volumes/Untitled/IoT_lab/American_kitchen_IoT/7c_d9_5c_78_53_3d/2019-11-12_16.43.49_192.168.110.16.pcap,N/A
104.84.224.91,casalemedia.com,as-sec.casalemedia.com,179030,231803,598,455,US,Advertisers,/Volumes/Untitled/IoT_lab/American_kitchen_IoT/7c_d9_5c_78_53_3d/2019-11-12_16.43.49_192.168.110.16.pcap,N/A
204.154.111.121,doubleverify.com,tps.doubleverify.com,2962,8161,11,8,US,Third party,/Volumes/Untitled/IoT_lab/American_kitchen_IoT/7c_d9_5c_78_53_3d/2019-11-12_16.43.49_192.168.110.16.pcap,N/A
34.230.196.67,demdex.net,dpm.demdex.net,13931,14026,68,46,US,Third party,/Volumes/Untitled/IoT_lab/American_kitchen_IoT/7c_d9_5c_78_53_3d/2019-11-12_16.43.49_192.168.110.16.pcap,N/A
159.127.42.236,dotomi.com,tubemogul-sync.dotomi.com,6458,6694,39,26,US,Advertisers,/Volumes/Untitled/IoT_lab/American_kitchen_IoT/7c_d9_5c_78_53_3d/2019-11-12_16.43.49_192.168.110.16.pcap,N/A
